dataset,category,group,case_name,delta_iou_frangi_minus_baseline,variant,target_proxy_pixels,average_precision,average_precision_tolerant_r2,mass_near_target_r2,top_target_count_effective,top_target_count_precision_r2,target_coverage_r2,weighted_distance_mean_px,weighted_distance_p90_px,false_component_count_top_target,false_component_largest_top_target_px,response_mean,response_sum,active_fraction,response_p99_minus_p50,spearman_with_soft_target
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_ab_opponent,646,0.01867390471727988,0.054642053125898704,0.05457667337486812,646,0.10371517027863777,0.1021671826625387,45.42679214477539,94.5938720703125,28,55,0.1545657366514206,7211.4189453125,0.43912894375857336,0.8969866037368774,0.02491822242801928
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,lab_ab_opponent,646,0.01867390471727988,0.054642053125898704,0.05457667337486812,646,0.10371517027863777,0.1021671826625387,45.42679214477539,94.5938720703125,28,55,0.1545657366514206,7211.4189453125,0.43912894375857336,0.8969866037368774,0.02491822242801928
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,hsv_saturation_bipolar,646,0.035572789651435226,0.06094471613295281,0.08546425908190655,646,0.09907120743034056,0.12693498452012383,75.55845642089844,114.42464447021484,7,294,0.03240898996591568,1512.0738525390625,0.29723936899862824,0.6037739515304565,0.06847258947796483
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,hsv_saturation_bipolar,646,0.035572789651435226,0.06094471613295281,0.08546425908190655,646,0.09907120743034056,0.12693498452012383,75.55845642089844,114.42464447021484,7,294,0.03240898996591568,1512.0738525390625,0.29723936899862824,0.6037739515304565,0.06847258947796483
khanhha_noisy1,gain_baseline,failures,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,log_chroma_pc1_bipolar,646,0.015700306737077098,0.04007486219176776,0.04766570330079402,646,0.04179566563467492,0.05263157894736842,54.54792404174805,104.12012481689453,34,90,0.08999264240264893,4198.69677734375,0.31348593964334703,0.7985221147537231,0.017553004780993378
khanhha_noisy1,gain_baseline,all,CRACK500_20160222_115828_641_1.jpg,-0.5848158356301679,log_chroma_pc1_bipolar,646,0.015700306737077098,0.04007486219176776,0.04766570330079402,646,0.04179566563467492,0.05263157894736842,54.54792404174805,104.12012481689453,34,90,0.08999264240264893,4198.69677734375,0.31348593964334703,0.7985221147537231,0.017553004780993378
khanhha_noisy2,gain_baseline,failures,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,luminance,7878,0.1644854680241284,0.1873238022309177,0.19356679884788694,7878,0.20144706778370144,0.38156892612338156,67.71385955810547,141.0,104,902,0.08033710718154907,3748.2080078125,0.18704989711934156,0.8198918700218201,0.006393213635751935
khanhha_noisy2,gain_baseline,all,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,luminance,7878,0.1644854680241284,0.1873238022309177,0.19356679884788694,7878,0.20144706778370144,0.38156892612338156,67.71385955810547,141.0,104,902,0.08033710718154907,3748.2080078125,0.18704989711934156,0.8198918700218201,0.006393213635751935
khanhha_noisy2,gain_baseline,failures,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,lab_cstar_dark,7878,0.2095696766085408,0.24596975946239913,0.34778730240291816,7878,0.294998730642295,0.4405940594059406,39.34821319580078,110.11357879638672,114,447,0.042496614158153534,1982.7220458984375,0.1881215706447188,0.5880496501922607,0.11291001076861557
khanhha_noisy2,gain_baseline,all,CRACK500_20160308_073532_1_361.jpg,-0.8111651621966129,lab_cstar_dark,7878,0.2095696766085408,0.24596975946239913,0.34778730240291816,7878,0.294998730642295,0.4405940594059406,39.34821319580078,110.11357879638672,114,447,0.042496614158153534,1982.7220458984375,0.1881215706447188,0.5880496501922607,0.11291001076861557
