cohort,map,physical_scenes,observations,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
khanhha_noisy1,ofs,24,24,0.20180191100696393,0.13016112211985315,0.1237822935840599,0.29126879033366987,0.2729083665338645,0.1374501992031872,0.15122841965471445,0.4103606407702522,0.33600359988313644,0.30742694805194803,0.22545246788951076,0.45042158941185134,0.39901592743505415,0.3699120879173278,0.2543045871100427,0.5435388917971673,0.008770793473639411,0.0008569834183673001,0.003743427302561603,0.014881035421981248
khanhha_noisy1,ofs_reflectance,24,24,0.20509066743848944,0.1317100498870853,0.12539160312086953,0.29792699213421,0.2713313413014608,0.13047808764940233,0.14798721779548468,0.4065405046480744,0.32208858120274636,0.26231157930798216,0.21325698263435727,0.4379518750948257,0.3965984930212774,0.37168659269809723,0.2581981933138498,0.5402814693710145,0.010618456366921722,0.0007772640306122,0.004502422306813305,0.017949484481292473
khanhha_noisy1,paired_profile,24,24,0.12710221488570914,0.11615501698442354,0.09405647862166464,0.16097193231321674,0.27382138114209825,0.21513944223107564,0.1666645916334661,0.3901913180610889,0.4098891386707592,0.3814231907452247,0.30785052151404935,0.5118714699058426,0.07251033904807018,0.06070491485297675,0.04834321463810432,0.0976412879147877,0.427648842740221,0.4316505899234694,0.4183643574617347,0.43643547629012547
khanhha_noisy1,phase_symmetry,24,24,0.20602260623066862,0.16614454124777406,0.14253791297177618,0.2789452500619296,0.32270916334661354,0.2679282868525896,0.20625415006640102,0.4471302290836653,0.45710649490499844,0.4612860151959678,0.34476692958671196,0.5708578097881986,0.11022983650521682,0.07145743072032926,0.06712724746418337,0.1645925878770261,0.32939967979379253,0.33279854910714285,0.32115268837026995,0.3374638771524234
khanhha_noisy1,verified_frangi_bic,24,24,0.2497055917209919,0.22397074850877463,0.17426085174032654,0.32920850707440585,0.375332005312085,0.25697211155378485,0.2337981407702523,0.522078353253652,0.37755445654876835,0.43301272763747406,0.26865260438399774,0.48464842055995017,0.22560657327994704,0.140515923500061,0.13336901488170644,0.3311391714892427,0.1500418526785714,0.154605787627551,0.12810125026573124,0.17159114500292297
khanhha_noisy1,verified_frangi_consensus,24,24,0.19089019455430184,0.13262315528775537,0.12001154305872212,0.27573920789562895,0.27739043824701193,0.12151394422310749,0.1521414342629482,0.41966093957503314,0.33614296553404815,0.29455185851318944,0.22300541050486197,0.452354849956537,0.38570382120087743,0.3079132959246635,0.24515441178809852,0.5290309521524856,0.013418599861819683,0.0047632334183672995,0.007688644305378349,0.019993850811809058
khanhha_noisy1,verified_frangi_ofs,24,24,0.1996913690308913,0.13352322798385904,0.12492234567939707,0.2902910767700273,0.27556440903054447,0.12350597609561745,0.15380146082337315,0.41077357237715795,0.32161786863808706,0.28487923946557037,0.2104043746641522,0.4371349116716773,0.3909453561839958,0.35275551676750183,0.24899449899482232,0.5393604246821875,0.012832330197704028,0.0036172672193877002,0.006714697597789067,0.020019572770514398
khanhha_noisy1,verified_frangi_v2,24,24,0.18257130425444415,0.1665367229237684,0.12941730342191754,0.23934153041799647,0.32735723771580344,0.22509960159362546,0.2002801294820717,0.4601614375830013,0.42112831890378316,0.457896152811407,0.31585693263093595,0.5248789405885455,0.21278974215965718,0.1317259147763252,0.12279219143868735,0.31552931751066354,0.11858009805484689,0.1256078603316326,0.0989029657273065,0.13894451945817385
khanhha_noisy2,black_tophat,24,24,0.23265206327236876,0.1943350399076596,0.17386201459835482,0.296197313245001,0.39865537848605576,0.35657370517928283,0.27166127158034525,0.5304635624169987,0.3508911492934303,0.34257122188156663,0.2764335133254429,0.42487927587409907,0.08977322552042699,0.06923259422183034,0.059409040039948464,0.12320117144263344,0.44794905266794216,0.46298030931122447,0.41735497299505736,0.4767286858591092
khanhha_noisy2,derivative_pair,24,24,0.08343229993061223,0.07673254840445409,0.06119413377025834,0.10753370286876551,0.12516600265604247,0.10956175298804774,0.07818517596281536,0.1815280544488711,0.3096108644317952,0.3169016127160923,0.23606134615369298,0.3843794547822511,0.08532014004110045,0.0604257900267839,0.04909970573595878,0.1316607281526861,0.29136439732142855,0.3088329081632653,0.26247616722470235,0.31212245396205357
