dataset,case_name,condition,role,qualitative,map,target_fraction,score_mean,score_q99,score_max,active_fraction_010,response_mass_near_gt,ap_exact,ap_tol2,precision_top_p005,skeleton_recall_top_p005,precision_top_p01,skeleton_recall_top_p01,precision_top_p02,skeleton_recall_top_p02,precision_top_p05,skeleton_recall_top_p05
khanhha,cracktree200_6266.jpg,original,anchor,True,line_step_bic,0.0027702487244897957,0.01949811540544033,0.27273470163345337,0.6423991918563843,0.07489636479591837,0.12538015842437744,0.07486003468921718,0.15936425189640746,0.4940239043824701,0.539568345323741,0.3346613545816733,0.6474820143884892,0.2290836653386454,0.7338129496402878,0.1379035472299721,0.9136690647482014
khanhha,cracktree200_6266.jpg,original,anchor,True,phase_symmetry,0.0027702487244897957,0.08275670558214188,0.3281732201576233,0.7123326063156128,0.33713329081632654,0.05555817857384682,0.07134540848387212,0.1820100298646629,0.5418326693227091,0.5971223021582733,0.3844621513944223,0.6762589928057554,0.25298804780876494,0.7697841726618705,0.15105619768832204,0.9568345323741008
khanhha,cracktree200_6266.jpg,original,anchor,True,ofs,0.0027702487244897957,0.00010014156578108668,0.0,0.21651656925678253,0.0003786670918367347,0.8887243866920471,0.031371141070978575,0.0627493677859409,0.22709163346613545,0.2446043165467626,0.1254980079681275,0.2446043165467626,0.06673306772908366,0.2589928057553957,0.04224790753288163,0.302158273381295
khanhha,cracktree200_6266.jpg,original,anchor,True,ofs_reflectance,0.0027702487244897957,0.00010067407856695354,0.0,0.21556134521961212,0.0003786670918367347,0.8830541372299194,0.035296470077978266,0.06228662437064109,0.22310756972111553,0.2589928057553957,0.12350597609561753,0.2589928057553957,0.06573705179282868,0.2733812949640288,0.04184934236747708,0.31654676258992803
khanhha,cracktree200_6266.jpg,original,anchor,True,fusion_ofs_profile,0.0027702487244897957,0.0002637906582094729,0.0,0.40271350741386414,0.0010762117346938774,0.872252345085144,0.03726066295733062,0.06323387840335397,0.22709163346613545,0.2446043165467626,0.1254980079681275,0.2446043165467626,0.06673306772908366,0.2589928057553957,0.04224790753288163,0.302158273381295
khanhha,cracktree200_6266.jpg,original,anchor,True,fusion_precision,0.0027702487244897957,0.00032806297531351447,0.0,0.4429236352443695,0.0011957908163265306,0.862812340259552,0.029683742011206323,0.06348098260527603,0.22709163346613545,0.2446043165467626,0.1254980079681275,0.2446043165467626,0.06673306772908366,0.2589928057553957,0.04224790753288163,0.302158273381295
khanhha,cracktree200_6266.jpg,original,anchor,True,fusion_reflectance,0.0027702487244897957,0.0003284296253696084,0.0,0.443188339471817,0.0012157206632653062,0.85679030418396,0.029471182775379048,0.06279182964891397,0.22310756972111553,0.2589928057553957,0.12350597609561753,0.2589928057553957,0.06573705179282868,0.2733812949640288,0.04184934236747708,0.31654676258992803
khanhha,cracktree200_6266.jpg,original,anchor,True,verified_frangi_ofs,0.0027702487244897957,0.00027990047237835824,0.0,0.43291884660720825,0.0010762117346938774,0.8698933124542236,0.03292131799984157,0.06285717187006974,0.22709163346613545,0.2446043165467626,0.12151394422310757,0.2446043165467626,0.06673306772908366,0.2589928057553957,0.04224790753288163,0.302158273381295
khanhha,cracktree200_6266.jpg,original,anchor,True,verified_frangi_bic,0.0027702487244897957,0.012411440722644329,0.2807754874229431,0.7443121671676636,0.05171795280612245,0.22105929255485535,0.07836997302711596,0.17833493492005972,0.5179282868525896,0.4892086330935252,0.39243027888446214,0.5827338129496403,0.27689243027888444,0.7122302158273381,0.16699880430450378,0.8561151079136691
khanhha,cracktree200_6266.jpg,original,anchor,True,verified_frangi_v2,0.0027702487244897957,0.014829469844698906,0.33597877621650696,0.7773651480674744,0.05799585459183673,0.20632502436637878,0.08011261699626435,0.17388333785474006,0.5258964143426295,0.5179856115107914,0.3944223107569721,0.6330935251798561,0.27589641434262946,0.762589928057554,0.16062176165803108,0.8489208633093526
