condition,map,n,nonempty_targets,ap_exact_mean,ap_exact_median,ap_exact_ci95_low,ap_exact_ci95_high,ap_tol2_mean,ap_tol2_median,ap_tol2_ci95_low,ap_tol2_ci95_high,precision_top_p01_mean,precision_top_p01_median,precision_top_p01_ci95_low,precision_top_p01_ci95_high,skeleton_recall_top_p01_mean,skeleton_recall_top_p01_median,skeleton_recall_top_p01_ci95_low,skeleton_recall_top_p01_ci95_high,response_mass_near_gt_mean,response_mass_near_gt_median,response_mass_near_gt_ci95_low,response_mass_near_gt_ci95_high,active_fraction_010_mean,active_fraction_010_median,active_fraction_010_ci95_low,active_fraction_010_ci95_high
noisy2,ofs_reflectance,24,20,0.2035338058493014,0.1254160935047557,0.12380838674199501,0.29777870490491953,0.21165568311734667,0.14754997492837502,0.13054201734622276,0.29973537888827434,0.2821215139442231,0.13745019920318724,0.16259545152722443,0.41601718127490034,0.3105558822914863,0.23997117095013187,0.197545681185013,0.42057251922904326,0.4832575681017867,0.513606458902359,0.3331303334428715,0.62914786276912,0.008654536033163263,0.000607860331632653,0.003277463329081632,0.014923157983896674
noisy2,paired_profile,24,20,0.11674721066063669,0.10052789365213641,0.07899073943377004,0.15790380440505913,0.12014175101209897,0.10436638108274285,0.08801446025868342,0.1531963695454739,0.24236387782204516,0.18127490039840638,0.1493069389110226,0.338724269588313,0.3812455121846878,0.4169003780026826,0.29761250576214626,0.4601800700809717,0.08054585219360888,0.07053573057055473,0.05410755521734245,0.10776525747690656,0.3588842275191326,0.36213528380102045,0.3471497204838967,0.3705274309430804
noisy2,phase_symmetry,24,20,0.20972304650747664,0.2098382995464807,0.14860860322542183,0.2818846058972771,0.21995198778000566,0.19414939621112512,0.15466623417253172,0.29188345711026314,0.36520584329349265,0.3466135458167331,0.24194679614873835,0.4911271580345285,0.48957137397763917,0.5107802244985585,0.3845040706064937,0.5923340879061733,0.12021681449065606,0.08162885159254074,0.07157024337211623,0.1786311778395126,0.3127565967793367,0.3137057557397959,0.3061703013725021,0.31953459240141374
noisy2,verified_frangi_bic,24,20,0.30916743293770765,0.3276024811752375,0.20942008716256677,0.4093608122441954,0.30785586252362024,0.3009156241392201,0.21665292953262616,0.4047939958057187,0.4245517928286852,0.31175298804780877,0.28518218791500666,0.5649194887118193,0.36288545206749834,0.37184873949579833,0.2698828144641265,0.45881635482877847,0.25531287624229054,0.15529272332787514,0.1535830772908715,0.3546615255028882,0.1477465986394558,0.1488659917091837,0.13009689227253401,0.16615224825281674
noisy2,verified_frangi_consensus,24,20,0.19671423784470382,0.12346737095738261,0.12034051019932265,0.28468012012270943,0.2018252064204094,0.1444458346260531,0.1259890708240736,0.2905303964081445,0.28469455511288183,0.13545816733067728,0.16524526892430277,0.4232943227091629,0.3146918366227253,0.27199556830031285,0.2058664702280558,0.4232714112605586,0.4637456374087681,0.4261370003223419,0.31737152092585647,0.6069049171172083,0.01061430431547619,0.003009406887755102,0.005666304607780612,0.016269605986926013
noisy2,verified_frangi_ofs,24,20,0.20021089698567823,0.12503938410261062,0.12644968509439383,0.28605376711018377,0.20648199086111746,0.14600994286613944,0.12768811529299842,0.3061651075178757,0.2863545816733068,0.1344621513944223,0.16466425962815404,0.4210698871181938,0.3064248070777309,0.2474419968717414,0.20327372344726377,0.4116375191882289,0.47493325158332783,0.4901764839887619,0.32963692022021857,0.614566933363676,0.009833718643707483,0.002590880102040816,0.005017671130952381,0.015455513259991494
noisy2,verified_frangi_v2,24,20,0.19895966353123806,0.17276002962589154,0.13954995600035966,0.26105604599891064,0.19720330336089495,0.1830737210376075,0.14150788598409034,0.25607211137594815,0.361304780876494,0.29482071713147406,0.22742156374501993,0.4930299634794157,0.41805155627176616,0.45318750806555685,0.3151547380469204,0.5203050908594057,0.24610551435034722,0.16170785576105118,0.1421382656437345,0.35858840828780864,0.09722360623937076,0.10123365752551021,0.08128550003985971,0.11367785395408161
original,black_tophat,30,26,0.16357447339337278,0.16457606748816508,0.12036244198074324,0.20756664632469807,0.15497063614659162,0.16396548018989165,0.11908181278279523,0.18873177432284324,0.3270916334661354,0.29282868525896416,0.23412682602921647,0.43048638778220444,0.4661480880555529,0.4276519550909795,0.3563757268321189,0.5825099461460064,0.09124886471157273,0.07340871542692184,0.06302063229416187,0.12387028539087622,0.340981744260204,0.33547911352040816,0.32110891329187924,0.36213420426764453
original,derivative_pair,30,26,0.06520830292759291,0.05398545441791288,0.047821461856533055,0.0840773288871569,0.0738811650567003,0.06100074646556439,0.05559720187208522,0.09407845089506918,0.1183930942895086,0.10956175298804781,0.08366201859229745,0.16169322709163345,0.3677396441909072,0.3575837742504409,0.2912443912676287,0.4427346950675313,0.06793694983546933,0.04583960771560669,0.04331255233536164,0.09618216854675361,0.3991629464285714,0.41618502869897955,0.36612783003826527,0.4220777695843963
original,frangi_relative,30,26,0.0878744907449202,0.06562008233469663,0.06054686616288549,0.11711417828198607,0.08980671247791981,0.0678289256122837,0.0657296051099454,0.11572598806324452,0.1656706507304117,0.05677290836653387,0.09687583001328019,0.24583001328021245,0.29745588007901425,0.16737198476512907,0.18542919037415084,0.4098136835811842,0.0830832839012146,0.04746531322598457,0.053724823632898426,0.11635465275341024,0.08136957908163266,0.0791812818877551,0.06022210153592687,0.10360447890093537
