name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
Rissbilder_for_Florian_9S6A2800_552_1819_3171_3588,0.471230,0.471230,0.488619,0.929782,0.640593,0.739310,0.805488,0.830906,0.963411,0.892266,0.790476,0.903410,0.916301,0.984665,0.949254,0.821548,0.960258,0.964513,0.995426,0.979726,0.864022,0.998742,0.999010,0.999731,0.999371,0.898725,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2800_817_399_2611_2043,0.446524,0.446524,0.726087,0.536977,0.617375,0.441071,0.584325,0.895652,0.627010,0.737633,0.470138,0.647794,0.934783,0.678457,0.786256,0.509358,0.702767,0.960870,0.723473,0.825441,0.584845,0.807074,1.000000,0.807074,0.893238,0.654229,0.922830,1.000000,0.922830,0.959866
Rissbilder_for_Florian_9S6A2802_251_84_3754_3687,0.454231,0.454231,0.474485,0.914101,0.624703,0.689191,0.761843,0.799227,0.942155,0.864825,0.737419,0.864343,0.896392,0.960278,0.927236,0.772507,0.935287,0.957861,0.975422,0.966562,0.828041,0.983608,0.998969,0.984608,0.991736,0.872552,0.991807,1.000000,0.991807,0.995887
Rissbilder_for_Florian_9S6A2802_2931_279_2589_2739,0.522099,0.522099,0.541109,0.936953,0.686025,0.745206,0.817057,0.845431,0.960545,0.899319,0.788716,0.907590,0.926474,0.978035,0.951557,0.818000,0.962473,0.972281,0.989628,0.980878,0.855321,0.998185,0.998591,0.999593,0.999092,0.887569,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2802_631_103_2560_2012,0.581572,0.581572,0.621089,0.901386,0.735436,0.756682,0.834857,0.886912,0.934315,0.909997,0.788142,0.906395,0.944352,0.957539,0.950900,0.811424,0.952045,0.975997,0.974870,0.975433,0.840603,0.986522,0.998089,0.988388,0.993215,0.864628,0.994281,1.000000,0.994281,0.997132
Rissbilder_for_Florian_9S6A2803_209_1110_2922_3685,0.502715,0.502715,0.551002,0.851554,0.669075,0.691114,0.787589,0.859693,0.903756,0.881174,0.732902,0.878703,0.933702,0.937176,0.935436,0.762130,0.941926,0.973766,0.966451,0.970095,0.805863,0.984798,0.991032,0.993653,0.992341,0.843929,0.995139,0.995139,1.000000,0.997563
Rissbilder_for_Florian_9S6A2803_247_1248_3459_4462,0.458930,0.458930,0.505690,0.832301,0.629132,0.671909,0.756945,0.836007,0.888938,0.861660,0.717849,0.857696,0.917376,0.929499,0.923398,0.752272,0.929036,0.964334,0.962094,0.963213,0.797770,0.978284,0.990142,0.987906,0.989023,0.840076,0.993239,0.997939,0.995280,0.996608
Rissbilder_for_Florian_9S6A2803_272_142_3359_3107,0.512276,0.512276,0.547471,0.888500,0.677490,0.728317,0.810646,0.867030,0.925735,0.895422,0.769503,0.901761,0.942832,0.953919,0.948343,0.796744,0.957165,0.980099,0.976137,0.978114,0.835169,0.996775,0.999239,0.997531,0.998385,0.864184,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2803_612_408_2717_3030,0.545114,0.545114,0.597683,0.861066,0.705597,0.734882,0.827128,0.903937,0.906839,0.905386,0.773559,0.906998,0.962497,0.940226,0.951231,0.798547,0.959996,0.989160,0.970203,0.979590,0.832857,0.993538,1.000000,0.993538,0.996759,0.859552,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2804_118_1818_2606_2570,0.542015,0.542015,0.566890,0.925106,0.702995,0.762112,0.825371,0.859160,0.954518,0.904332,0.803835,0.903812,0.925678,0.974530,0.949476,0.830802,0.952498,0.963768,0.987871,0.975671,0.864713,0.995196,0.996098,0.999090,0.997592,0.896232,1.000000,1.000000,1.000000,1.000000
