name,with_evidence_iou,with_evidence_dice,with_evidence_precision,with_evidence_recall,with_evidence_components_pred,with_evidence_skeleton_covered,no_evidence_iou,no_evidence_dice,no_evidence_precision,no_evidence_recall,no_evidence_components_pred,no_evidence_skeleton_covered
CRACK500_20160222_163940_641_1081.jpg,0.451083,0.621719,0.688102,0.567018,9.000000,0.650138,0.447311,0.618127,0.678831,0.567389,7.000000,0.641873
CRACK500_20160222_164141_1281_1.jpg,0.515505,0.680308,0.704835,0.657430,13.000000,0.743808,0.517545,0.682082,0.702629,0.662703,14.000000,0.743402
CRACK500_20160222_164141_1921_721.jpg,0.544962,0.705470,0.726675,0.685466,12.000000,0.811211,0.540482,0.701705,0.731328,0.674388,10.000000,0.796392
CRACK500_20160222_164141_1_1081.jpg,0.618166,0.764033,0.791187,0.738680,1.000000,0.889279,0.609264,0.757196,0.794598,0.723157,1.000000,0.884007
CRACK500_20160222_164822_1281_1.jpg,0.588634,0.741057,0.588634,1.000000,1.000000,1.000000,0.580138,0.734288,0.580138,1.000000,4.000000,1.000000
CRACK500_20160222_164822_641_1.jpg,0.762303,0.865121,0.768455,0.989607,1.000000,1.000000,0.769856,0.869965,0.779838,0.983647,1.000000,1.000000
CRACK500_20160222_164822_641_361.jpg,0.801706,0.889941,0.818436,0.975137,2.000000,0.967742,0.809345,0.894628,0.830233,0.969851,2.000000,0.967742
CRACK500_20160222_164825_641_721.jpg,0.779680,0.876202,0.798141,0.971189,1.000000,1.000000,0.786621,0.880568,0.807272,0.968503,1.000000,1.000000
CRACK500_20160222_164851_641_1081.jpg,0.643920,0.783396,0.672064,0.938937,4.000000,0.985075,0.645157,0.784311,0.678812,0.928637,4.000000,0.985075
CRACK500_20160222_164936_641_361.jpg,0.483800,0.652110,0.493650,0.960392,1.000000,0.982222,0.485311,0.653481,0.495424,0.959638,1.000000,0.984444
CRACK500_20160222_165037_1921_361.jpg,0.599226,0.749395,0.614501,0.960170,2.000000,0.993671,0.609736,0.757560,0.630506,0.948743,2.000000,0.990506
CRACK500_20160222_165037_1_361.jpg,0.662326,0.796866,0.666323,0.991023,2.000000,1.000000,0.674538,0.805641,0.680026,0.988177,2.000000,1.000000
CRACK500_20160222_165037_641_361.jpg,0.706156,0.827774,0.742846,0.934628,1.000000,0.952857,0.715859,0.834403,0.759136,0.926237,1.000000,0.950000
CRACK500_20160222_165218_641_1.jpg,0.668048,0.800994,0.670596,0.994344,1.000000,1.000000,0.668744,0.801493,0.671766,0.993316,1.000000,1.000000
CRACK500_20160222_165225_1281_721.jpg,0.599893,0.749916,0.640732,0.903955,1.000000,0.818966,0.608079,0.756280,0.652607,0.899112,1.000000,0.818966
CRACK500_20160222_165256_1281_1.jpg,0.469141,0.638660,0.514168,0.842697,4.000000,0.902542,0.464416,0.634268,0.503972,0.855431,5.000000,0.919492
CRACK500_20160222_165256_1281_721.jpg,0.460651,0.630747,0.480694,0.916997,1.000000,0.922297,0.469273,0.638782,0.491873,0.910819,1.000000,0.920608
CRACK500_20160222_165256_641_1.jpg,0.528518,0.691543,0.548896,0.934368,3.000000,0.936842,0.545677,0.706069,0.568978,0.930191,3.000000,0.943860
CRACK500_20160222_165715_1921_721.jpg,0.401890,0.573355,0.419052,0.907520,1.000000,0.920000,0.409594,0.581152,0.428571,0.902439,1.000000,0.920000
CRACK500_20160222_165909_1281_1081.jpg,0.525813,0.689223,0.572201,0.866415,1.000000,0.820690,0.531481,0.694074,0.581050,0.861689,2.000000,0.816092
CRACK500_20160222_165919_1_721.jpg,0.470935,0.640321,0.592789,0.696139,5.000000,0.705882,0.508910,0.674540,0.603440,0.764633,7.000000,0.800000
CRACK500_20160222_165926_1281_721.jpg,0.566638,0.723381,0.575925,0.972331,2.000000,0.997859,0.584388,0.737683,0.598748,0.960578,2.000000,0.997859
CRACK500_20160222_165947_1921_721.jpg,0.488275,0.656162,0.502197,0.946275,1.000000,0.964989,0.496289,0.663360,0.513224,0.937658,1.000000,0.962801
CRACK500_20160222_165951_1921_1.jpg,0.663173,0.797479,0.715271,0.901038,3.000000,0.938420,0.676960,0.807365,0.735849,0.894280,4.000000,0.935743
CRACK500_20160225_114503_1_361.jpg,0.467667,0.637293,0.476386,0.962340,1.000000,0.965229,0.479755,0.648425,0.488547,0.963846,1.000000,0.965229
CRACK500_20160225_114514_721_1281.jpg,0.302340,0.464303,0.681314,0.352140,2.000000,0.348356,0.299180,0.460568,0.683250,0.347358,2.000000,0.342266
CRACK500_20160225_114514_721_641.jpg,0.312761,0.476494,0.647290,0.377013,2.000000,0.397104,0.308086,0.471049,0.648865,0.369727,2.000000,0.389482
CRACK500_20160225_114535_1281_1081.jpg,0.291072,0.450900,0.410263,0.500472,1.000000,0.605856,0.288385,0.447669,0.412006,0.490091,1.000000,0.594595
CRACK500_20160225_114535_1921_1081.jpg,0.491907,0.659434,0.504674,0.951089,1.000000,1.000000,0.498897,0.665686,0.514210,0.943672,2.000000,1.000000
