name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
CRACK500_20160321_183951_1_361,0.832689,0.832689,0.935282,0.883601,0.908707,0.836142,0.850948,0.946522,0.893926,0.919473,0.839444,0.866418,0.955495,0.902854,0.928429,0.842428,0.880702,0.962964,0.911579,0.936567,0.847659,0.905088,0.975373,0.926256,0.950180,0.854380,0.934949,0.987949,0.945735,0.966381
CRACK500_20160321_185457_1281_1,0.713387,0.713387,0.926468,0.756203,0.832721,0.721453,0.747903,0.944423,0.782336,0.855772,0.728548,0.777840,0.959339,0.804358,0.875039,0.737680,0.810338,0.973589,0.828551,0.895234,0.753347,0.857579,0.990405,0.864764,0.923330,0.770007,0.899894,0.999620,0.900202,0.947310
CRACK500_20160321_185457_1921_1,0.394381,0.394381,0.742948,0.456699,0.565672,0.395951,0.405702,0.776766,0.459247,0.577223,0.397075,0.415062,0.805951,0.461146,0.586634,0.396693,0.422604,0.830014,0.462646,0.594127,0.396171,0.434666,0.873750,0.463795,0.605947,0.397268,0.446614,0.921632,0.464245,0.617462
CRACK500_20160321_185518_1921_721,0.840533,0.840533,0.954800,0.875364,0.913358,0.847029,0.881470,0.972753,0.903784,0.937001,0.852555,0.913953,0.984933,0.926912,0.955042,0.857407,0.941639,0.993766,0.947235,0.969942,0.869403,0.973164,0.999885,0.973273,0.986400,0.884709,0.988568,1.000000,0.988568,0.994251
CRACK500_20160321_185518_1_721,0.538782,0.538782,0.651944,0.756335,0.700271,0.591422,0.640497,0.770043,0.791980,0.780858,0.630707,0.720136,0.862938,0.813144,0.837301,0.661620,0.775209,0.927268,0.825397,0.873372,0.708782,0.828099,0.984878,0.838764,0.905967,0.756926,0.846839,1.000000,0.846839,0.917069
CRACK500_20160321_185534_1281_721,0.822575,0.822575,0.900800,0.904512,0.902652,0.833252,0.872539,0.932781,0.931083,0.931932,0.842481,0.912184,0.957051,0.951119,0.954076,0.852304,0.946050,0.977287,0.967318,0.972277,0.864112,0.979853,0.994976,0.984725,0.989824,0.876647,0.996163,1.000000,0.996163,0.998078
CRACK500_20160321_185557_1_361,0.804310,0.804310,0.893678,0.889418,0.891543,0.802528,0.854204,0.938697,0.904671,0.921370,0.799709,0.883771,0.962644,0.915157,0.938300,0.796407,0.912283,0.986590,0.923737,0.954129,0.799320,0.938990,1.000000,0.938990,0.968535,0.802336,0.959009,1.000000,0.959009,0.979075
CRACK500_20160321_185557_641_721,0.823228,0.823228,0.942719,0.866574,0.903044,0.830063,0.863950,0.966678,0.890469,0.927010,0.836159,0.893282,0.979995,0.909873,0.943633,0.842043,0.917987,0.989300,0.927193,0.957240,0.851908,0.949568,0.997790,0.951569,0.974132,0.862868,0.973860,1.000000,0.973860,0.986757
CRACK500_20160321_185637_1_1081,0.752709,0.752709,0.962489,0.775457,0.858910,0.756852,0.781892,0.974636,0.798132,0.877598,0.760990,0.807312,0.983105,0.818671,0.893385,0.765961,0.832359,0.989906,0.839484,0.908511,0.774012,0.868275,0.997519,0.870154,0.929494,0.783392,0.898825,0.999914,0.898894,0.946717
CRACK500_20160324_165857_1281_361,0.825532,0.825532,0.978718,0.840622,0.904429,0.832402,0.883801,0.991030,0.890928,0.938317,0.840065,0.926340,0.996834,0.929073,0.961762,0.849743,0.960891,0.999121,0.961704,0.980055,0.866060,0.991011,1.000000,0.991011,0.995485,0.881446,0.998036,1.000000,0.998036,0.999017
CRACK500_20160324_165857_641_361,0.824043,0.824043,0.956232,0.856342,0.903534,0.836376,0.880245,0.976217,0.899535,0.936309,0.847106,0.922323,0.987942,0.932824,0.959592,0.858717,0.958243,0.996136,0.961818,0.978677,0.875850,0.989549,0.999867,0.989679,0.994747,0.893385,0.999523,1.000000,0.999523,0.999761
CRACK500_20160324_170309_641_1,0.728919,0.728919,0.850118,0.836409,0.843208,0.760721,0.821059,0.900394,0.903086,0.901738,0.785366,0.878389,0.925611,0.945108,0.935258,0.806540,0.920361,0.943735,0.973794,0.958529,0.838137,0.960269,0.965327,0.994573,0.979732,0.868328,0.984082,0.984082,1.000000,0.991977
CRACK500_20160324_170309_641_361,0.721677,0.721677,0.966269,0.740328,0.838342,0.752747,0.832011,0.991517,0.837976,0.908303,0.777083,0.902601,0.998788,0.903590,0.948807,0.796776,0.941968,1.000000,0.941968,0.970117,0.826459,0.982668,1.000000,0.982668,0.991258,0.856880,0.999536,1.000000,0.999536,0.999768
CRACK500_20160324_170309_641_721,0.662992,0.662992,0.967655,0.678018,0.797349,0.693441,0.759215,0.981565,0.770197,0.863129,0.718495,0.839131,0.991956,0.844880,0.912530,0.739353,0.897332,0.997486,0.899366,0.945888,0.773582,0.955378,1.000000,0.955378,0.977180,0.810102,0.991076,1.000000,0.991076,0.995518
CRACK500_20160324_170323_1_721,0.794757,0.794757,0.956522,0.824544,0.885643,0.805377,0.846765,0.977222,0.863814,0.917025,0.815274,0.883894,0.988919,0.892736,0.938369,0.825845,0.917402,0.996075,0.920730,0.956922,0.841313,0.957599,0.999769,0.957811,0.978340,0.857491,0.984080,1.000000,0.984080,0.991976
CRACK500_20160324_170347_1281_361,0.667749,0.667749,0.746211,0.863957,0.800779,0.724712,0.764384,0.815002,0.924854,0.866460,0.767151,0.830419,0.858660,0.961902,0.907354,0.798634,0.872005,0.884830,0.983651,0.931627,0.843898,0.914163,0.916051,0.997750,0.955157,0.886853,0.952066,0.952066,1.000000,0.975445
CRACK500_20160324_170347_1281_721,0.623749,0.623749,0.900647,0.669839,0.768283,0.682318,0.745330,0.962216,0.767801,0.854085,0.724753,0.818975,0.985549,0.828930,0.900480,0.757401,0.866945,0.996237,0.869794,0.928731,0.804529,0.923421,1.000000,0.923421,0.960186,0.846604,0.965293,1.000000,0.965293,0.982340
CRACK500_20160324_170542_1_721,0.641334,0.641334,0.705339,0.876046,0.781479,0.664532,0.711286,0.761976,0.914472,0.831288,0.683790,0.769298,0.808882,0.940192,0.869608,0.710054,0.828174,0.855539,0.962814,0.906012,0.758543,0.898055,0.917665,0.976759,0.946290,0.816321,0.948905,0.954840,0.993492,0.973783
CRACK500_20160325_185829_641_361,0.403605,0.403605,0.422527,0.900126,0.575098,0.446229,0.471847,0.489975,0.927293,0.641164,0.480681,0.534196,0.550420,0.947707,0.696386,0.514345,0.600703,0.614920,0.962940,0.750549,0.568276,0.713016,0.722321,0.982255,0.832469,0.621949,0.819034,0.822866,0.994347,0.900515
