name,k0_iou_dilate_both,k0_iou_buffered,k0_precision,k0_recall,k0_f1,k1_iou_dilate_both,k1_iou_buffered,k1_precision,k1_recall,k1_f1,k2_iou_dilate_both,k2_iou_buffered,k2_precision,k2_recall,k2_f1,k3_iou_dilate_both,k3_iou_buffered,k3_precision,k3_recall,k3_f1,k5_iou_dilate_both,k5_iou_buffered,k5_precision,k5_recall,k5_f1,k8_iou_dilate_both,k8_iou_buffered,k8_precision,k8_recall,k8_f1
Rissbilder_for_Florian_9S6A2821_1089_894_2343_2903,0.521875,0.521875,0.554173,0.899540,0.685831,0.701611,0.781060,0.828661,0.931493,0.877073,0.743505,0.873583,0.906929,0.959611,0.932527,0.774881,0.934862,0.955906,0.976994,0.966335,0.815934,0.992875,0.994646,0.998211,0.996425,0.853865,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2821_2779_46_2936_3794,0.483692,0.483692,0.517709,0.880403,0.652012,0.719275,0.799690,0.854093,0.926225,0.888697,0.763158,0.890699,0.928317,0.956484,0.942190,0.793667,0.946727,0.969497,0.975793,0.972634,0.835602,0.989976,0.998305,0.991643,0.994963,0.874317,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2822_1030_155_3516_3590,0.473309,0.473309,0.502424,0.890919,0.642511,0.708563,0.781842,0.829545,0.931488,0.877566,0.755496,0.872778,0.907424,0.958087,0.932068,0.789250,0.934295,0.955152,0.977163,0.966032,0.835156,0.990592,0.997273,0.993283,0.995274,0.871877,0.999731,1.000000,0.999731,0.999866
Rissbilder_for_Florian_9S6A2822_1137_465_2983_2428,0.510686,0.510686,0.534884,0.918625,0.676098,0.705496,0.774610,0.807362,0.950235,0.872992,0.750373,0.864294,0.889566,0.968176,0.927208,0.781683,0.930682,0.944410,0.984622,0.964097,0.826308,0.984393,0.987937,0.996369,0.992135,0.865013,0.998668,0.998881,0.999786,0.999333
Rissbilder_for_Florian_9S6A2822_2401_400_2963_3258,0.490678,0.490678,0.522781,0.888770,0.658328,0.695604,0.774757,0.827369,0.924149,0.873085,0.736697,0.864822,0.903989,0.952292,0.927512,0.767357,0.927841,0.951915,0.973466,0.962570,0.810875,0.984588,0.991171,0.993299,0.992234,0.848657,1.000000,1.000000,1.000000,1.000000
Rissbilder_for_Florian_9S6A2823_106_892_3634_4471,0.423127,0.423127,0.489238,0.757944,0.594645,0.588195,0.665735,0.796404,0.802275,0.799329,0.623134,0.742286,0.875665,0.829737,0.852083,0.648815,0.792586,0.919473,0.851707,0.884294,0.685675,0.844583,0.959230,0.876030,0.915744,0.719617,0.874675,0.985313,0.886230,0.933149
Rissbilder_for_Florian_9S6A2825_325_1707_3330_2732,0.464645,0.464645,0.522798,0.806845,0.634481,0.650139,0.708383,0.818083,0.840833,0.829302,0.689048,0.782989,0.896092,0.861178,0.878288,0.717507,0.834066,0.942928,0.878411,0.909527,0.754969,0.886585,0.984957,0.898755,0.939884,0.778632,0.905439,0.997364,0.907611,0.950373
Rissbilder_for_Florian_9S6A2825_340_882_2590_2354,0.503113,0.503113,0.574154,0.802612,0.669428,0.672342,0.736976,0.865772,0.832046,0.848574,0.697461,0.800279,0.930254,0.851361,0.889061,0.715529,0.842893,0.965785,0.868837,0.914750,0.739731,0.883426,0.994473,0.887785,0.938105,0.759216,0.896615,1.000000,0.896615,0.945490
Rissbilder_for_Florian_9S6A2825_565_2563_2166_2123,0.531488,0.531488,0.552972,0.931881,0.694081,0.713582,0.781550,0.807671,0.960264,0.877382,0.752384,0.861681,0.880474,0.975829,0.925702,0.782083,0.917597,0.928176,0.987731,0.957028,0.826670,0.971443,0.974574,0.996704,0.985514,0.862343,0.994676,0.994676,1.000000,0.997331
Rissbilder_for_Florian_9S6A2825_65_315_3693_4161,0.413327,0.413327,0.484907,0.736842,0.584899,0.600865,0.663294,0.825077,0.771832,0.797567,0.634158,0.734335,0.910023,0.791826,0.846820,0.658572,0.784230,0.963429,0.808292,0.879068,0.688408,0.820185,0.998452,0.821229,0.901210,0.712358,0.826522,1.000000,0.826522,0.905023
Rissbilder_for_Florian_9S6A2825_711_1408_2863_2522,0.505103,0.505103,0.534911,0.900639,0.671188,0.710835,0.777172,0.828659,0.925971,0.874617,0.753492,0.865436,0.906223,0.950566,0.927865,0.780443,0.919786,0.949313,0.967290,0.958217,0.820739,0.973168,0.983640,0.989179,0.986402,0.856695,0.995856,0.997079,0.998770,0.997924
Rissbilder_for_Florian_9S6A2825_71_1920_3644_3801,0.382404,0.382404,0.514308,0.598560,0.553245,0.512488,0.567579,0.843581,0.634338,0.724147,0.541037,0.627145,0.922080,0.662241,0.770853,0.559094,0.667046,0.964037,0.684068,0.800273,0.584430,0.709534,0.996520,0.711296,0.830090,0.606634,0.735824,1.000000,0.735824,0.847809
