representation,model,evaluation,held_out_domain,train_balanced_accuracy,n,balanced_accuracy,macro_f1,accuracy,chance_balanced_accuracy,recall_degraded,auroc_degraded,recall_neutral,auroc_neutral,recall_improved,auroc_improved,macro_auroc_ovr,frangi_activation_rate,hard_gate_mean_delta_iou,always_frangi_mean_delta_iou,oracle_positive_mean_delta_iou
mean,mlp8,leave_domain_out,khanhha,0.6064530968391509,5085,0.38156289154226203,0.3385864061353454,0.35555555555555557,0.3333333333333333,0.18763029881862406,0.5121465468835591,0.33477576711250984,0.5606673786791652,0.6222826086956522,0.5574666941522959,0.54342687323834,0.5470993117010816,-0.0031132906671497425,-0.009132674407740448,0.013764900764687657
mean,mlp8,leave_domain_out,road420,0.5637178637562291,420,0.365057192669133,0.27580118651199975,0.36904761904761907,0.3333333333333333,0.05970149253731343,0.5842704286785252,0.3076923076923077,0.521905915606703,0.7277777777777777,0.5775231481481482,0.5612331641444588,0.6666666666666666,-0.0015987646133274747,-0.013545974006050579,0.0555026401212655
mean,mlp8,grouped_cv,all,0.5899351124061931,8895,0.5389915470061722,0.535554383108109,0.5456998313659359,0.3333333333333333,0.5549132947976878,0.7325209227810069,0.5673295454545455,0.7528760306553911,0.49473180076628354,0.7113625285442584,0.7322531606602188,0.2919617762788083,0.003906508914215678,-0.009849340569106186,0.018073224586996478
mean,mlp32,leave_domain_out,concrete3k,0.6207606278229364,3000,0.3007843507843508,0.2621096255340969,0.259,0.3333333333333333,0.1386001386001386,0.4404079490784693,0.3076923076923077,0.5731303849520062,0.45606060606060606,0.4456332556332556,0.48639052988791037,0.5496666666666666,-0.00864861831785262,-0.009691222538392056,0.017186109663734156
mean,mlp32,leave_domain_out,facade390,0.588046339351413,390,0.3981676003734827,0.3043981262515687,0.31025641025641026,0.3333333333333333,0.16176470588235295,0.5364220957200085,0.5952380952380952,0.6026956759715381,0.4375,0.579127145438121,0.5727483057098892,0.3435897435897436,0.0006023398712377758,-0.016428867438774194,0.040762498642981836
mean,mlp32,leave_domain_out,khanhha,0.6283755502482121,5085,0.36457068274702314,0.35778340395914127,0.37404129793510327,0.3333333333333333,0.34746351633078526,0.5454845562664082,0.4020456333595594,0.5180857774987755,0.3442028985507246,0.49748658937926166,0.5203523077148152,0.3329400196656834,-0.0020932081375996726,-0.009132674407740448,0.013764900764687657
mean,mlp32,leave_domain_out,road420,0.6119506836789353,420,0.3662074244163796,0.35931495405179614,0.4380952380952381,0.3333333333333333,0.3781094527363184,0.5432199731933938,0.15384615384615385,0.5372501514233797,0.5666666666666667,0.5381018518518518,0.5395239921562084,0.5214285714285715,-0.003673011471398371,-0.013545974006050579,0.0555026401212655
mean,mlp32,grouped_cv,all,0.6445862519830692,8895,0.5382192772775646,0.5340320993341657,0.5430016863406408,0.3333333333333333,0.5552175235777305,0.7335103986785794,0.5536931818181818,0.7590128171247358,0.5057471264367817,0.7164991230573441,0.7363407796202197,0.30016863406408095,0.003932398794900364,-0.009849340569106186,0.018073224586996478
mean,mlp64,leave_domain_out,concrete3k,0.6504117124124075,3000,0.3178220786916439,0.28290746943324296,0.2836666666666667,0.3333333333333333,0.15661815661815662,0.4863440585983939,0.4180602006688963,0.578904373483546,0.3787878787878788,0.44855672105672106,0.504601717712887,0.44366666666666665,-0.0064100281016600345,-0.009691222538392056,0.017186109663734156
mean,mlp64,leave_domain_out,facade390,0.6352546989261086,390,0.4090608465608465,0.31650596433774353,0.3230769230769231,0.3333333333333333,0.16666666666666666,0.5534735399536159,0.5952380952380952,0.5782703886152162,0.4652777777777778,0.6386630532971996,0.5901356606220106,0.3435897435897436,0.007473377773596065,-0.016428867438774194,0.040762498642981836
