run,run_label,epoch,paper_model,paper_label,dataset,sam2_precision,paper_precision,delta_precision_sam2_minus_paper,sam2_recall,paper_recall,delta_recall_sam2_minus_paper,sam2_dice,paper_dice,delta_dice_sam2_minus_paper,sam2_iou,paper_iou,delta_iou_sam2_minus_paper,iou_source,pr_re_f1_source
epoch25_best,Frangi — époque 25 (best validation),25,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7632058700690004,,,0.7221251687389932,,,0.7100359613364481,,,0.596546164623148,0.59498347386172,0.0015626907614280094,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_original,0.7526746096742712,0.762,-0.009325390325728766,0.7665719321451874,0.7918,-0.025228067854812575,0.744551397838268,0.7639,-0.019348602161732065,0.6229724776349823,0.6416,-0.018627522365017635,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy1,0.7110753816739112,,,0.7357816819857322,,,0.6915218272274141,,,0.5704863157450496,0.5782,-0.007713684254950448,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",khanhha_noisy2,0.6228012874423501,,,0.6108812280465025,,,0.5832175747792807,,,0.4841029913509463,0.4915,-0.007397008649053682,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",road420,0.7656399306951943,,,0.6391659410766081,,,0.6129848206288302,,,0.4700934262501071,0.6222,-0.1521065737498929,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",facade390,0.5517763017148233,,,0.91097409132606,,,0.6551241020989096,,,0.49993980938850946,0.4544,0.045539809388509433,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",concrete3k,0.9050834227176814,,,0.7392135758577585,,,0.79337331528927,,,0.6901317148391102,0.6798,0.010331714839110218,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",MACRO_6_DATASETS,0.7181751556530386,,,0.7337647417396415,,,0.680128839643662,,,0.5562877892014508,0.57795,-0.02166221079854913,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch25_best,Frangi — époque 25 (best validation),25,paper_lora_qv_r4,"CrackSAM originel — LoRA qv r=4 (SAM 1, ViT-H)",PONDERE_IMAGES,0.7632058700690004,,,0.7221251687389932,,,0.7100359613364481,,,0.596546164623148,0.6046760539629005,-0.00812988933975245,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 2 (rank=4)"
epoch30,Frangi — époque 30,30,paper_adapter_d32,"CrackSAM originel — Adapter d=32 (SAM 1, ViT-H)",khanhha_original,0.7552918552197239,0.7676,-0.012308144780276087,0.760451464305142,0.7965,-0.036048535694858,0.7429047871500297,0.7704,-0.027495212849970252,0.6216589960955258,0.6495,-0.027841003904474193,"CrackSAM.pdf, Table 6","CrackSAM.pdf, Table 1 (Adapter d=32)"
