comparison,dataset,metric,reference_mean,candidate_mean,samples,mean_delta,std_delta,median_delta,p05_delta,p95_delta,ci95_low,ci95_high,gains,ties,losses,losses_below_minus_005,losses_below_minus_010
matching_vs_permuted,road420,dice,0.2035557959113958,0.47767049923890376,420,0.274114703327508,0.3279658659507405,0.2480029334001072,-0.20134404837881018,0.7556422879175132,0.24251236056193048,0.305229643465165,342,13,65,39,33
matching_vs_permuted,facade390,iou,0.17723315509065665,0.39678402061607543,390,0.21955086552541883,0.3001730385057482,0.18759003406363747,-0.240227331936261,0.6695697992976932,0.18983119775159332,0.24913799787488444,281,19,90,63,46
matching_vs_permuted,facade390,dice,0.24568927536187743,0.5168656649602154,390,0.27117638959833784,0.3679362333335064,0.25041472192665126,-0.27869942619844434,0.7948442833137574,0.23437122674252214,0.30758014556742574,281,19,90,64,47
matching_vs_permuted,concrete3k,iou,0.23550091715236546,0.6592643842493463,3000,0.4237634670969809,0.31271343679550295,0.4527242270429435,0.0,0.850456205731223,0.4124734319339091,0.43506712144751575,2776,75,149,49,26
matching_vs_permuted,concrete3k,dice,0.3004338643269446,0.7706570504389626,3000,0.47022318611201785,0.35702068122952973,0.5230344351765717,0.0,0.9171562674795944,0.45756087524451083,0.483001928564922,2776,75,149,38,25
matching_vs_shifted,khanhha_original,iou,0.4031534097552066,0.5191392292706984,1695,0.11598581951549182,0.3379122406122099,0.033359288826663946,-0.38416668459905434,0.6450429302275184,0.09992494487703554,0.13157266828207725,1124,196,375,147,120
matching_vs_shifted,khanhha_original,dice,0.48296589468533907,0.632741969602283,1695,0.1497760749169441,0.38565099540888803,0.028267869290940495,-0.49173927018186736,0.7716454444439287,0.1312732651402094,0.16795416094240811,1124,196,375,147,124
matching_vs_shifted,khanhha_noisy1,iou,0.2706333262904662,0.44442639600594214,1695,0.1737930697154759,0.37947969511537616,0.1471567307192556,-1.0,0.6950923760100568,0.15556300714257643,0.1914685772349429,1228,204,263,149,129
matching_vs_shifted,khanhha_noisy1,dice,0.3250266043650436,0.5575872154898844,1695,0.23256061112484083,0.42918872308944933,0.18807683880113846,-1.0,0.8147510068580565,0.21217506102054293,0.25240998682806715,1228,204,263,151,130
matching_vs_shifted,khanhha_noisy2,iou,0.2431178881980854,0.42675285957812,1695,0.1836349713800346,0.32133173327810666,0.11043454193191254,-0.07301693545001317,0.6795765125289852,0.1680986342654407,0.19879809172573235,1182,349,164,95,73
